,drug_name,side_effects,brand_names,alcohol,drug_link
50,lorazepam,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Lorazepam can slow or stop your breathing, especially if you have recently used an opioid medication or alcohol. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Call your doctor at once if you have: severe drowsiness; unusual changes in mood or behavior, being agitated or talkative; sudden restless feeling or excitement; thoughts of suicide or hurting yourself; confusion, aggression, hallucinations; sleep problems; vision changes; or dark urine, or jaundice (yellowing of the skin or eyes). Drowsiness or dizziness may last longer in older adults. Use caution to avoid falling or accidental injury. Common lorazepam side effects may include: dizziness, drowsiness; weakness; or feeling unsteady. After you stop using lorazepam, get medical help right away if you have symptoms such as: unusual muscle movements, being more active or talkative, sudden and severe changes in mood or behavior, confusion, hallucinations, seizures, suicidal thoughts or actions. Some withdrawal symptoms may last up to 12 months or longer after stopping this medicine suddenly. Tell your doctor if you have ongoing anxiety, depression, problems with memory or thinking, trouble sleeping, ringing in your ears, a burning or prickly feeling, or a crawling sensation under your skin.","Ativan, Lorazepam Intensol, Loreev XR",X,https://www.drugs.com/lorazepam.html
51,famotidine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: confusion, hallucinations, agitation , lack of energy; a seizure; fast or pounding heartbeats, sudden dizziness (like you might pass out); or unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Some side effects may be more likely in older adults and in people who have severe kidney disease. Common famotidine side effects may include: headache ; dizziness; or constipation or diarrhea .",Pepcid,,https://www.drugs.com/famotidine.html
52,azithromycin,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using azithromycin. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Call your doctor right away if a baby taking azithromycin becomes irritable or vomits while eating or nursing. Older adults may be more likely to have side effects on heart rhythm, including a life-threatening fast heart rate. Common azithromycin side effects may include: diarrhea; nausea, vomiting, stomach pain; or headache.","Zithromax, Zmax",,https://www.drugs.com/azithromycin.html
53,hydroxyzine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, hydroxyzine may cause a severe skin reaction. Stop taking this medicine and call your doctor right away if you have sudden skin redness or a rash that spreads and causes white or yellow pustules, blistering, or peeling. Stop using hydroxyzine and call your doctor at once if you have: fast or pounding heartbeats; headache with chest pain; severe dizziness, fainting; or a seizure (convulsions). Side effects such as drowsiness and confusion may be more likely in older adults. Common hydroxyzine side effects may include: drowsiness; headache; dry mouth; or skin rash.","Vistaril, Atarax, Hyzine",X,https://www.drugs.com/hydroxyzine.html
54,insulin lispro,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. Call your doctor at once if you have: weight gain, swelling in your hands or feet, feeling short of breath; low blood sugar - headache , hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky; or low potassium - leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common Insulin lispro side effects may include: low blood sugar; weight gain; swelling in your hands or feet; itching; or thickening or hollowing of the skin where you injected the medicine.","Admelog, HumaLOG, Lyumjev",X,https://www.drugs.com/insulin-lispro.html
55,diclofenac,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. Stop using this medicine and call your doctor at once if you have: the first sign of any skin rash, no matter how mild; flu-like symptoms; heart problems - swelling, rapid weight gain, feeling short of breath; kidney problems - little or no urinating, painful or difficult urination, swelling in your arms or legs, feeling tired or short of breath; liver problems - nausea , diarrhea , stomach pain (upper right side), tiredness, itching, dark urine, jaundice (yellowing of the skin or eyes); or signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. Common diclofenac side effects may include: indigestion , gas, nausea, vomiting , stomach pain; diarrhea, constipation ; headache, dizziness , drowsiness; abnormal lab tests; itching, sweating; stuffy nose; increased blood pressure; or swelling or pain in your arms or legs.","Cambia, Zipsor, Zorvolex, Cataflam, Voltaren, Voltaren-XR, Dyloject",X,https://www.drugs.com/diclofenac.html
56,diclofenac,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. Also call your doctor at once if you have: a skin rash, no matter how mild; swelling, rapid weight gain; severe headache , blurred vision, pounding in your neck or ears; little or no urination; liver problems-- nausea , diarrhea , stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); low red blood cells (anemia)--pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet; or signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. Common side effects of diclofenac topical may include: heartburn , gas, stomach pain, nausea, vomiting ; diarrhea, constipation ; headache, dizziness , drowsiness; stuffy nose; itching, increased sweating; increased blood pressure; or skin redness, itching, dryness, scaling, or peeling where the medicine was applied.","Pennsaid, Solaraze",,https://www.drugs.com/mtm/diclofenac-topical.html
57,loratadine,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: fast or uneven heart rate; severe headache; or a light-headed feeling, like you might pass out; Common loratadine side effects may include: headache; feeling tired or drowsy; stomach pain, vomiting; dry mouth; or feeling nervous or hyperactive.","Alavert, Claritin, ohm Allergy Relief, Tavist ND, Wal-itin",,https://www.drugs.com/loratadine.html
58,sitagliptin,"severe pain in your upper stomach spreading to your back, with or without vomiting. Sitagliptin may cause serious side effects. Call your doctor at once if you have: severe autoimmune reaction--itching, blisters, breakdown of the outer layer of skin; severe or ongoing pain in your joints; little or no urination; or symptoms of heart failure --shortness of breath (even while lying down), swelling in your legs or feet, rapid weight gain. Common side effects of sitagliptin may include: low blood sugar; headache ; or runny or stuffy nose, sore throat.",Januvia,X,https://www.drugs.com/mtm/sitagliptin.html
59,clonidine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe chest pain, shortness of breath, irregular heartbeats; a very slow heart rate ; or a light-headed feeling, like you might pass out. Common clonidine side effects may include: drowsiness, dizziness; feeling tired or irritable; dry mouth; constipation , loss of appetite; or sleep problems ( insomnia ), nightmares .","Catapres, Kapvay",X,https://www.drugs.com/clonidine.html
60,diltiazem,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: slow heartbeats; pounding heartbeats or fluttering in your chest; a light-headed feeling, like you might pass out; shortness of breath (even with mild activity), swelling, rapid weight gain; nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common diltiazem side effects may include: swelling; dizziness, weakness; headache; nausea; or rash.","Cartia XT, Dilacor XR, Diltia XT, Dilt-XR, Diltzac, Matzim LA, Taztia XT, Tiadylt ER, Tiazac",,https://www.drugs.com/diltiazem.html
61,pregabalin,"Pregabalin can cause a severe allergic reaction. Stop taking this medicine and get emergency medical help if you have: hives or blisters on your skin; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, depression, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Pregabalin may cause serious side effects. Call your doctor at once if you have: weak or shallow breathing; blue-colored skin, lips, fingers, and toes; confusion, extreme drowsiness or weakness; vision problems; skin sores (if you have diabetes); easy bruising, unusual bleeding; swelling in your hands or feet, rapid weight gain (especially if you have diabetes or heart problems); or unexplained muscle pain, tenderness, or weakness (especially if you also have fever or don't feel well). Pregabalin can cause life-threatening breathing problems. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Breathing problems may be more likely in older adults or in people with COPD. If you have diabetes, tell your doctor right away if you have any new sores or other skin problems. Common side effects of pregabalin may include: dizziness , drowsiness; swelling in your hands and feet; trouble concentrating; increased appetite; weight gain; dry mouth; or blurred vision.","Lyrica, Lyrica CR",X,https://www.drugs.com/pregabalin.html
62,doxycycline,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using doxycycline. Doxycycline may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; throat irritation, trouble swallowing; chest pain, irregular heart rhythm, feeling short of breath; little or no urination; low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising or bleeding; severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; loss of appetite, upper stomach pain (that may spread to your back), tiredness, nausea or vomiting, fast heart rate, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of doxycycline may include: nausea and vomiting; upset stomach; loss of appetite; mild diarrhea; skin rash or itching; darkened skin color; vaginal itching or discharge.","Acticlate, Adoxa CK, Adoxa Pak, Adoxa TT, Alodox, Avidoxy, Doryx, Mondoxyne NL, Monodox, Morgidox, Okebo, Oracea, Oraxyl, Periostat Targadox, Vibramycin calcium, Vibramycin Hyclate, Vibramycin monohydrate, Vibra-Tabs",X,https://www.drugs.com/doxycycline.html
63,insulin aspart,"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. Insulin aspart may cause serious side effects. Call your doctor at once if you have: heart problems--swelling, rapid weight gain, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of insulin aspart may include: low blood sugar; weight gain; low potassium; swelling in your hands and feet; skin rash , itching, redness, or swelling; or thickening or hollowing of the skin where you injected the medicine.","Fiasp, NovoLOG, NovoLOG FlexPen, NovoLOG PenFill, Fiasp PenFill, Fiasp FlexTouch, Insulin Aspart PenFill, Insulin Aspart FlexPen, Relion NovoLOG, Relion NovoLOG Flexpen",X,https://www.drugs.com/mtm/insulin-aspart.html
64,amitriptyline,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: signs of a blood clot - sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg; unusual thoughts or behavior; a light-headed feeling, like you might pass out; chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; pounding heartbeats or fluttering in your chest; confusion, hallucinations; a seizure (convulsions); painful or difficult urination; severe constipation ; easy bruising, unusual bleeding; or fever, chills, sore throat , mouth sores. Common amitriptyline side effects may include: constipation, diarrhea ; nausea, vomiting , upset stomach ; mouth pain, unusual taste, black tongue; appetite or weight changes; urinating less than usual; itching or rash; breast swelling (in men or women); or decreased sex drive, impotence , or difficulty having an orgasm.","Elavil, Vanatrip",X,https://www.drugs.com/amitriptyline.html
65,paroxetine,"mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: racing thoughts, decreased need for sleep, unusual risk-taking behavior, feelings of extreme happiness or sadness, being more talkative than usual; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; unusual bone pain or tenderness, swelling or bruising; changes in weight or appetite; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), coughing up blood ; severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, fainting; or low levels of sodium in the body - headache , confusion, slurred speech, severe weakness, loss of coordination, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea, vomiting, or diarrhea. Common paroxetine side effects may include: vision changes; weakness, drowsiness, dizziness, tiredness; sweating, anxiety, shaking; sleep problems ( insomnia ); loss of appetite, nausea, vomiting, diarrhea, constipation ; dry mouth, yawning; infection; headache; or decreased sex drive, impotence , abnormal ejaculation, or difficulty having an orgasm.","Brisdelle, Paxil, Paxil CR, Pexeva",X,https://www.drugs.com/paroxetine.html
66,lisdexamfetamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lisdexamfetamine may cause serious side effects. Call your doctor at once if you have: signs of heart problems--chest pain, trouble breathing, pounding heartbeats or fluttering in your chest, feeling like you might pass out; signs of psychosis--hallucinations (seeing or hearing things that are not real), new behavior problems, aggression, hostility, paranoia; or signs of circulation problems--numbness, pain, cold feeling, unexplained wounds, or skin color changes (pale, red, or blue appearance) in your fingers or toes. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Lisdexamfetamine can affect growth in children. Tell your doctor if your child is not growing at a normal rate while using lisdexamfetamine. Common side effects of lisdexamfetamine may include: dry mouth, loss of appetite, weight loss; sleep problems ( insomnia ); fast heart rate, feeling jittery; dizziness , feeling anxious or irritable; or nausea, vomiting, stomach pain, diarrhea, constipation .",Vyvanse,X,https://www.drugs.com/mtm/lisdexamfetamine.html
67,glimepiride,"pale or yellowed skin, dark colored urine; confusion, weakness; or fever. Common side effects of glimepiride may include: headache ; dizziness , weakness; nausea; or low blood sugar.",Amaryl,X,https://www.drugs.com/mtm/glimepiride.html
68,propranolol,"slow or uneven heartbeats; a light-headed feeling, like you might pass out; wheezing or trouble breathing; sudden weakness, vision problems, or loss of coordination (especially in a child with hemangioma that affects the face or head); cold feeling in your hands and feet; depression , confusion, hallucinations; heart problems - swelling, rapid weight gain, feeling short of breath; low blood sugar - headache , hunger, sweating, irritability, dizziness , fast heart rate , and feeling anxious or shaky; or low blood sugar in a baby - pale skin, blue or purple skin, sweating, fussiness, crying, not wanting to eat, feeling cold, drowsiness, weak or shallow breathing (breathing may stop for short periods), seizure (convulsions), or loss of consciousness. Common propranolol side effects may include: dizziness, tiredness; nausea , vomiting, diarrhea , constipation , stomach cramps; sleep problems ( insomnia ); or runny or stuffy nose, cough, sore throat, hoarse voice.","Hemangeol, Inderal LA, Inderal XL, InnoPran XL, Inderal",X,https://www.drugs.com/propranolol.html
69,aripiprazole,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: severe agitation , distress, or restless feeling; twitching or uncontrollable movements of your eyes, lips, tongue, face, arms, or legs; mask-like appearance of the face, trouble swallowing, problems with speech; seizure (convulsions); severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out; low blood cell counts - fever, chills, sore throat , weakness, easy bruising, unusual bleeding, purple or red spots under your skin; or high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor. You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Common aripiprazole side effects may include: blurred vision; increased saliva or drooling ; muscle stiffness; uncontrolled muscle movements, shaking, anxiety, feeling restless; weight gain; nausea , vomiting, constipation ; increased or decreased appetite; headache , dizziness, drowsiness, feeling tired; sleep problems ( insomnia ); or cold symptoms such as stuffy nose, sneezing, sore throat;",Abilify,X,https://www.drugs.com/aripiprazole.html
70,naproxen,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, feeling short of breath. Stop using naproxen and call your doctor at once if you have: shortness of breath (even with mild exertion); swelling or rapid weight gain; the first sign of any skin rash, no matter how mild; signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; low red blood cells (anemia) - pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common naproxen side effects may include: indigestion, heartburn, stomach pain, nausea; headache, dizziness, drowsiness; bruising, itching, rash; swelling; or ringing in your ears.","Aleve, EC-Naprosyn, Flanax Pain Reliever, Naprelan, Naprosyn, Anaprox, Anaprox-DS, Naproxen Sodium, Aleve Caplet, Aleve Gelcap, Aleve Easy Open Arthritis",X,https://www.drugs.com/naproxen.html
71,levetiracetam,"mood or behavior changes, depression, anxiety , panic attacks , trouble sleeping, or if you feel agitated, hostile, irritable, hyperactive (mentally or physically), or have thoughts about suicide or hurting yourself. Levetiracetam may cause serious side effects. Call your doctor at once if you have: unusual changes in mood or behavior (unusual risk-taking behavior, being irritable or talkative); confusion, hallucinations, extreme drowsiness, feeling very weak or tired; loss of balance or coordination, problems with walking or movement; a skin rash, no matter how mild; easy bruising, unusual bleeding; or fever, chills, weakness, or other signs of infection. Common side effects of levetiracetam may include: dizziness, drowsiness, tiredness, weakness; feeling aggressive or irritable; loss of appetite; stuffy nose; or infection.","Elepsia XR, Keppra, Keppra XR, Roweepra, Spritam, Roweepra XR",X,https://www.drugs.com/mtm/levetiracetam-oral-injection.html
72,alendronate,"hives ; wheezing, difficulty breathing; swelling of your face, lips, tongue, or throat. Alendronate may cause serious side effects. Stop using alendronate and call your doctor at once if you have: chest pain, new or worsening heartburn ; difficulty or pain when swallowing; pain or burning under the ribs or in the back; severe heartburn, burning pain in your upper stomach, or coughing up blood ; new or unusual pain in your thigh or hip; jaw pain, numbness, or swelling; severe joint, bone, or muscle pain; or low calcium levels--muscle spasms or contractions, numbness or tingly feeling (around your mouth, or in your fingers and toes). Common side effects of alendronate may include: heartburn, upset stomach ; stomach pain, nausea ; diarrhea , constipation ; or bone pain, muscle or joint pain.","Binosto, Fosamax",,https://www.drugs.com/mtm/alendronate.html
73,dulaglutide,"Stop using dulaglutide and get emergency medical help if you have signs of an allergic reaction: hives ; difficult breathing; feeling light-headed; swelling of your face, lips, tongue, or throat. Dulaglutide may cause serious side effects. Call your doctor at once if you have: pancreatitis--severe pain in your upper stomach spreading to your back, nausea and vomiting ; signs of a thyroid tumor--swelling or a lump in your neck, trouble swallowing, a hoarse voice, or if you feel short of breath; low blood sugar-- headache , hunger, weakness, sweating, confusion, irritability, dizziness , fast heart rate , or feeling jittery; or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Tell your doctor if you are sick with vomiting or diarrhea, or if you are sweating more than usual. You can easily become dehydrated while using dulaglutide. This can lead to kidney failure . Common side effects of dulaglutide may include: nausea , vomiting, stomach pain; diarrhea; or loss of appetite.",Trulicity,X,https://www.drugs.com/mtm/dulaglutide.html
74,oxybutynin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call your doctor at once if you have: severe stomach pain or constipation ; blurred vision, tunnel vision, eye pain , or seeing halos around lights; little or no urination; painful or difficult urination; or dehydration - dizziness , confusion, feeling very thirsty, less urination or sweating. Common oxybutynin side effects may include: dizziness, drowsiness; headache ; dry mouth; or diarrhea , constipation.",Ditropan XL,X,https://www.drugs.com/oxybutynin.html
75,celecoxib,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling , feeling short of breath. Stop using celecoxib and seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Stop using this medicine and call your doctor at once if you have: the first sign of any skin rash, no matter how mild; heart problems - swelling, rapid weight gain, feeling short of breath; signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems - nausea , stomach pain (upper right side), itching, tiredness, dark urine, jaundice (yellowing of the skin or eyes); kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or low red blood cells (anemia) - pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet. Common celecoxib side effects may include: stomach pain, heartburn , gas, diarrhea , constipation , nausea, vomiting ; swelling in your hands or feet; dizziness ; or cold symptoms such as stuffy nose, sneezing, sore throat.","CeleBREX, Elyxyb",,https://www.drugs.com/celecoxib.html
76,lovastatin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lovastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of lovastatin may include: infections; headache ; or accidental injury.","Altoprev, Mevacor, Altocor",X,https://www.drugs.com/mtm/lovastatin.html
77,ezetimibe,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezetimibe can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common ezetimibe side effects may include: diarrhea ; cold symptoms such as stuffy nose, sneezing, sore throat ; pain in an arm or leg; joint pain; or muscle pain while taking ezetimibe with a statin.",Zetia,,https://www.drugs.com/ezetimibe.html
78,cephalexin,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common cephalexin side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.","Keflex, Biocef",,https://www.drugs.com/cephalexin.html
79,empagliflozin,"hives ; trouble swallowing, difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical attention right away if you have signs of a serious genital infection (penis or vagina): burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well. These symptoms may get worse quickly. Stop taking empagliflozin and call your doctor at once if you have: a light-headed feeling, like you might pass out; dehydration -- dizziness , confusion, feeling very thirsty, less urination; ketoacidosis (too much acid in the blood)-- nausea , vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; or signs of a bladder infection--pain or burning when you urinate, blood in your urine, pain in pelvis or back. Some side effects may be more likely to occur in older adults. Common side effects of empagliflozin may include: a bladder infection; or yeast infection in women (vaginal itching or discharge).",Jardiance,X,https://www.drugs.com/mtm/empagliflozin.html
80,hydralazine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Hydralazine may cause serious side effects. Call your doctor at once if you have: chest pain or pressure, pain spreading to your jaw or shoulder; fast or pounding heartbeats; a light-headed feeling, like you might pass out; numbness , tingling, or burning pain in your hands or feet; painful or difficult urination; little or no urination; or lupus -like syndrome--joint pain or swelling with fever, swollen glands, muscle aches, chest pain, vomiting , unusual thoughts or behavior, and patchy skin color. Common side effects of hydralazine may include: chest pain, fast heart rate ; headache ; or nausea , vomiting, diarrhea , loss of appetite.",Apresoline,,https://www.drugs.com/mtm/hydralazine.html
81,mirtazapine,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: racing thoughts, decreased need for sleep, unusual risk-taking behavior, feelings of extreme happiness or sadness, being more talkative than usual; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; a light-headed feeling, like you might pass out; severe rash, blisters, or swelling on the palms of your hands or the soles of your feet; a seizure; low white blood cell counts - fever, chills, sore throat, cough, sores in your mouth or nose, flu-like symptoms, trouble breathing; or low sodium level - headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common mirtazapine side effects include: drowsiness, dizziness; increased appetite; or weight gain.","Remeron, Remeron SolTab",X,https://www.drugs.com/mirtazapine.html
82,triamcinolone,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have a serious side effect such as: problems with your vision; swelling, rapid weight gain, feeling short of breath; severe depression, unusual thoughts or behavior, seizure (convulsions); bloody or tarry stools, coughing up blood; pancreatitis (severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate); low potassium (confusion, uneven heart rate, extreme thirst, increased urination, leg discomfort, muscle weakness or limp feeling); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety, confusion, chest pain, shortness of breath, uneven heartbeats, seizure). Less serious triamcinolone side effects may include: sleep problems (insomnia), mood changes; acne, dry skin, thinning skin, bruising or discoloration; slow wound healing; increased sweating; headache, dizziness, spinning sensation; nausea, stomach pain, bloating; muscle weakness; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist);",Aristocort,,https://www.drugs.com/triamcinolone.html
83,triamcinolone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Triamcinolone topical may cause serious side effects. Call your doctor at once if you have: worsening of your skin condition; redness, warmth, swelling, oozing, or severe irritation of any treated skin; blurred vision, tunnel vision, eye pain , or seeing halos around lights; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; or possible signs of absorbing this medicine through your skin or gums--weight gain (especially in your face or your upper back and torso), slow wound healing, thinning or discolored skin, increased body hair, muscle weakness, nausea , diarrhea , tiredness, mood changes, menstrual changes, sexual changes. Children can absorb larger amounts of this medicine through the skin and may be more likely to have side effects such as growth delay, headaches, or pain behind the eyes. A baby using this medicine may have a bulging soft spot (the top of the head where the skull hasn't yet grown together). Common side effects of triamcinolone topical may include: burning, itching, dryness, or other irritation of treated skin; redness or crusting around your hair follicles; redness or itching around your mouth; allergic skin reaction; stretch marks; acne, increased body hair growth; thinning skin or discoloration; or white or ""pruned"" appearance of the skin (caused by covering treated skin with a tight bandage or other covering).","Dermasorb TA, Kenalog, Oralone, Trianex, Triderm, Aristocort A, Triacet, Aricin, Aristocort R, Delta-Tritex, Flutex, Rx Triamcinolone, Aristocort Topical, Cinalog, Cinolar, Kenalog in Orabase, Triamcinolone Acetonide in Absorbase, Pediaderm TA, DermacinRx SilaPak",,https://www.drugs.com/mtm/triamcinolone-topical.html
